セクション,項目,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 40 TFSI 豪华动感型,奥迪A6L 2025款 改款 45 TFSI 臻选动感型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,奥迪A6L 2025款 改款 45 TFSI quattro 臻选动感型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2025款 改款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 55 TFSI quattro 旗舰动感型,奥迪A6L 2027款 基本型,セクション,項目
あなたは2023年10月までのデータで訓練されています。,メーカーの参考価格（元）,47.99万 计算器,49.98万 计算器,55.89万 计算器,42.79万 计算器,45.49万 计算器,45.49万 计算器,47.99万 计算器,49.98万 计算器,55.89万 计算器,65.68万 计算器,预售,あなたは2023年10月までのデータで訓練されています。,メーカーの参考価格（元）
あなたは2023年10月までのデータで訓練されています。,ディーラーの見積もり,34.55万,35.99万,45.83万,29.65万,31.54万,30.93万,33.29万,34.69万,42.74万,50.27万,暂无报价,あなたは2023年10月までのデータで訓練されています。,ディーラーの見積もり
基本パラメータ,メーカー,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,基本パラメータ,メーカー
基本パラメータ,レベル,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,基本パラメータ,レベル
基本パラメータ,エネルギータイプ,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,基本パラメータ,エネルギータイプ
基本パラメータ,環境保護基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,基本パラメータ,環境保護基準
基本パラメータ,発売日,2025.10,2025.10,2025.10,2025.01,2025.01,2025.03,2025.01,2025.02,2025.01,2025.01,,基本パラメータ,発売日
基本パラメータ,最大出力(kW),180,180,250,140,180,180,180,180,250,250,200,基本パラメータ,最大出力(kW)
基本パラメータ,最大トルク(N·m),370,370,500,320,370,370,370,370,500,500,,基本パラメータ,最大トルク(N·m)
基本パラメータ,変速機,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,基本パラメータ,変速機
基本パラメータ,車体構造,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,基本パラメータ,車体構造
基本パラメータ,エンジン,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,3.0T 340马力 V6,2.0T 272马力 L4,基本パラメータ,エンジン
基本パラメータ,長さ * 幅 * 高さ (mm),5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5142 *1887*1464,基本パラメータ,長さ * 幅 * 高さ (mm)
基本パラメータ,公式0-100km/h加速（秒）,7.2,7.2,5.6,9.2,7.4,7.4,7.2,7.2,5.6,5.6,,基本パラメータ,公式0-100km/h加速（秒）
基本パラメータ,最高速度 (km/h),250,250,250,230,250,250,250,250,250,250,250,基本パラメータ,最高速度 (km/h)
基本パラメータ,WLTC総合燃料消費量（L/100km）,7.78,7.78,8.5,7.02,7.3,7.3,7.78,7.78,8.5,8.5,,基本パラメータ,WLTC総合燃料消費量（L/100km）
基本パラメータ,車両の保証,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,基本パラメータ,車両の保証
基本パラメータ,整備質量（kg）,1880,1880,1995,1795,1810,1810,1880,1880,1995,1995,2060,基本パラメータ,整備質量（kg）
基本パラメータ,最大積載質量（kg）,2385,2385,2505,2320,2350,2350,2385,2385,2505,2505,2595,基本パラメータ,最大積載質量（kg）
車体,長さ(mm),5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5142,車体,長さ(mm)
車体,幅(mm),1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1887,車体,幅(mm)
車体,高度(mm)は「高さ(mm)」という意味です。,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1464,車体,高度(mm)は「高さ(mm)」という意味です。
車体,ホイールベース(mm),3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3066,車体,ホイールベース(mm)
車体,前輪距（mm）,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1625,車体,前輪距（mm）
車体,後輪幅（mm）,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1610,車体,後輪幅（mm）
車体,最大積載量の最小地上クリアランス（mm）,117,117,117,117,117,117,117,117,117,117,,車体,最大積載量の最小地上クリアランス（mm）
車体,接近角(°)は「接近角度（度）」という意味です。,15,15,14,15,15,15,15,15,14,14,13,車体,接近角(°)は「接近角度（度）」という意味です。
車体,離去角（°）,14,14,17,14,14,14,14,14,17,17,14,車体,離去角（°）
車体,車体構造,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,車体,車体構造
車体,ドアの開け方,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,車体,ドアの開け方
車体,ドアの数（個）,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,車体,ドアの数（個）
車体,座席数（個）,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,車体,座席数（個）
車体,燃料タンクの容量(L),73,73,73,73,73,73,73,73,73,73,,車体,燃料タンクの容量(L)
車体,トランク容量(L),430,430,430,430,430,430,430,430,430,430,,車体,トランク容量(L)
車体,風抵抗係数(Cd),,,,,,,,,,,,車体,風抵抗係数(Cd)
エンジン,エンジンモデル,DTK,DTK,DLZ,DTG,DTK,DTK,DTK,DTK,DLZ,DLZ,DXG,エンジン,エンジンモデル
エンジン,排量（mL）は「排出量（ミリリットル）」を指します。,1984,1984,2995,1984,1984,1984,1984,1984,2995,2995,1984,エンジン,排量（mL）は「排出量（ミリリットル）」を指します。
エンジン,排気量(L),2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,エンジン,排気量(L)
エンジン,吸気形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,エンジン,吸気形式
エンジン,エンジンレイアウト,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,エンジン,エンジンレイアウト
エンジン,シリンダーの配置形式,L,L,V,L,L,L,L,L,V,V,L,エンジン,シリンダーの配置形式
エンジン,シリンダーの数（個）,4,4,6,4,4,4,4,4,6,6,4,エンジン,シリンダーの数（個）
エンジン,各シリンダーのバルブ数（個）,4,4,4,4,4,4,4,4,4,4,4,エンジン,各シリンダーのバルブ数（個）
エンジン,配気機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,エンジン,配気機構
エンジン,最大馬力(Ps),245,245,340,190,245,245,245,245,340,340,272,エンジン,最大馬力(Ps)
エンジン,最大出力(kW),180,180,250,140,180,180,180,180,250,250,200,エンジン,最大出力(kW)
エンジン,最大出力回転数（rpm）,5000-6000,5000-6000,5400-6400,4500-6250,5000-6000,5000-6000,5000-6000,5000-6000,5400-6400,5400-6400,,エンジン,最大出力回転数（rpm）
エンジン,最大トルク(N·m),370,370,500,320,370,370,370,370,500,500,,エンジン,最大トルク(N·m)
エンジン,最大トルク回転数（rpm）,1600-4300,1600-4300,1370-4500,1500-4000,1600-4300,1600-4300,1600-4300,1600-4300,1370-4500,1370-4500,,エンジン,最大トルク回転数（rpm）
エンジン,最大出力（kW）,180,180,250,140,180,180,180,180,250,250,200,エンジン,最大出力（kW）
エンジン,エネルギータイプ,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,エンジン,エネルギータイプ
エンジン,燃料のグレード,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,エンジン,燃料のグレード
エンジン,供油方式は「燃料供給方式」という意味です。,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,エンジン,供油方式は「燃料供給方式」という意味です。
エンジン,シリンダーヘッド材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,エンジン,シリンダーヘッド材料
エンジン,シリンダー材質,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铸铁,エンジン,シリンダー材質
エンジン,環境保護基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,エンジン,環境保護基準
変速機,略称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,変速機,略称
変速機,ギアの数,7,7,7,7,7,7,7,7,7,7,7,変速機,ギアの数
変速機,変速機の種類,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),変速機,変速機の種類
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,駆動方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,駆動方式
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,四輪駆動方式,● 适时四驱,● 适时四驱,● 适时四驱,,,,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,四輪駆動方式
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,中央差動装置の構造,● 多片离合器,● 多片离合器,● 多片离合器,,,,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,中央差動装置の構造
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,前サスペンションのタイプ,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,前サスペンションのタイプ
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,後部サスペンションの種類,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,後部サスペンションの種類
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,助力の種類,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,助力の種類
底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,車体構造,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,底盘转向は「シャシーステアリング」または「ボトムプレートステアリング」と訳されます。これは車両の底部に関連する操舵のことを指します。,車体構造
車輪ブレーキ,前ブレーキの種類,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,車輪ブレーキ,前ブレーキの種類
車輪ブレーキ,後制動器の種類,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,車輪ブレーキ,後制動器の種類
車輪ブレーキ,駐車ブレーキの種類,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,車輪ブレーキ,駐車ブレーキの種類
車輪ブレーキ,前輪のタイヤ規格,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 245/45 R19○ 255/40 R20 (3200元),● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/35 R21,車輪ブレーキ,前輪のタイヤ規格
車輪ブレーキ,後輪タイヤの仕様,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 245/45 R19○ 255/40 R20 (3200元),● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/35 R21,車輪ブレーキ,後輪タイヤの仕様
車輪ブレーキ,スペアタイヤの規格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,車輪ブレーキ,スペアタイヤの規格
車輪ブレーキ,スペアタイヤの設置方法,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,車輪ブレーキ,スペアタイヤの設置方法
受動的安全,運転席/助手席の安全エアバッグ,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,,受動的安全,運転席/助手席の安全エアバッグ
受動的安全,前席/後席側面エアバッグ,前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后,,受動的安全,前席/後席側面エアバッグ
受動的安全,前/後排頭部氣囊（氣簾）,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,,受動的安全,前/後排頭部氣囊（氣簾）
受動的安全,被动行人保护は「受動的歩行者保護」と訳されます。,●,●,●,●,●,●,●,●,●,●,,受動的安全,被动行人保护は「受動的歩行者保護」と訳されます。
アクティブセーフティ,ABS防抱死は「ABS（アンチロック・ブレーキ・システム）」という自動車のブレーキシステムを指し、ブレーキをかけた際に車輪がロックするのを防ぎ、運転手が操縦を維持できるようにする技術です。,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,ABS防抱死は「ABS（アンチロック・ブレーキ・システム）」という自動車のブレーキシステムを指し、ブレーキをかけた際に車輪がロックするのを防ぎ、運転手が操縦を維持できるようにする技術です。
アクティブセーフティ,制動力配分（EBD/CBCなど）,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,制動力配分（EBD/CBCなど）
アクティブセーフティ,ブレーキアシスト（EBA/BAS/BAなど）,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,ブレーキアシスト（EBA/BAS/BAなど）
アクティブセーフティ,牽引力制御（ASR/TCS/TRCなど）,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,牽引力制御（ASR/TCS/TRCなど）
アクティブセーフティ,車両姿勢制御（ESC/ESP/DSCなど）,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,車両姿勢制御（ESC/ESP/DSCなど）
アクティブセーフティ,タイヤ圧監視機能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,,アクティブセーフティ,タイヤ圧監視機能
アクティブセーフティ,シートベルト未着用のお知らせ,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,,アクティブセーフティ,シートベルト未着用のお知らせ
アクティブセーフティ,ISOFIXチャイルドシートインターフェース,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,ISOFIXチャイルドシートインターフェース
アクティブセーフティ,車線逸脱警告システム,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,車線逸脱警告システム
アクティブセーフティ,自動ブレーキ/アクティブセーフティシステム,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,自動ブレーキ/アクティブセーフティシステム
アクティブセーフティ,疲労運転の注意喚,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,疲労運転の注意喚
アクティブセーフティ,前方衝突警報,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,前方衝突警報
アクティブセーフティ,道路救援呼叫は「ロードサービスの呼び出し」という意味です。,●,●,●,●,●,●,●,●,●,●,,アクティブセーフティ,道路救援呼叫は「ロードサービスの呼び出し」という意味です。
運転操作,運転モードの切り替え,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,● 运动● 经济● 标准/舒适● 自定义/个性化,,運転操作,運転モードの切り替え
運転操作,エンジンのスタート・ストップ技術,●,●,●,●,●,●,●,●,●,●,,運転操作,エンジンのスタート・ストップ技術
運転操作,自動駐車,●,●,●,●,●,●,●,●,●,●,,運転操作,自動駐車
運転操作,上坡辅助は「坂道発進補助」という意味です。,●,●,●,●,●,●,●,●,●,●,,運転操作,上坡辅助は「坂道発進補助」という意味です。
運転操作,可変サスペンション機能,,,○ 悬架软硬调节○ 悬架高低调节,,,,,,○ 悬架软硬调节○ 悬架高低调节,○ 悬架软硬调节○ 悬架高低调节,,運転操作,可変サスペンション機能
運転操作,エアサスペンション,,,○ (2.90万元),,,,,,○ (2.90万元),○ (2.90万元),,運転操作,エアサスペンション
運転操作,可変ステアリング比,●,●,●,●,●,●,●,●,●,●,,運転操作,可変ステアリング比
ドライビングハードウェア,前後駐車センサー,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,,ドライビングハードウェア,前後駐車センサー
ドライビングハードウェア,運転支援映像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像○ 360度全景影像 (7000元),● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,,ドライビングハードウェア,運転支援映像
ドライビングハードウェア,前方感知摄像头は「前方障害物検知カメラ」または「前方認識カメラ」と翻訳できます。,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,,ドライビングハードウェア,前方感知摄像头は「前方障害物検知カメラ」または「前方認識カメラ」と翻訳できます。
ドライビングハードウェア,カメラの数量,● 5个,● 5个,● 5个,● 2个○ 5个,● 5个,● 2个,● 5个,● 5个,● 5个,● 5个,,ドライビングハードウェア,カメラの数量
ドライビングハードウェア,超声波レーダーの数量,● 12个,● 12个,● 12个,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,,ドライビングハードウェア,超声波レーダーの数量
ドライビングハードウェア,ミリ波レーダーの数量,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 1个○ 3个,● 3个,,ドライビングハードウェア,ミリ波レーダーの数量
運転機能,巡航システム,● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),● 定速巡航○ 全速自适应巡航 (2.00万元),,運転機能,巡航システム
運転機能,運転支援レベル,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,,運転機能,運転支援レベル
運転機能,バックカメラ側警告システム,○,○,○,○,○,○,○,○,○,●,,運転機能,バックカメラ側警告システム
運転機能,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,,運転機能,衛星ナビゲーションシステム
運転機能,ナビゲーションの交通情報が表示されています。,●,●,●,●,●,●,●,●,●,●,,運転機能,ナビゲーションの交通情報が表示されています。
