セクション,セクション_ja,項目,項目_ja,2025年モデル 後輪駆動版,2025年モデル 改良版 ロングレンジ全輪駆動版,2026年モデル ロングレンジ後輪駆動版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"26.35万元（日本円 約5,533,500円）","31.35万元（日本円 約6,583,500円）",预售 暂无
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"26.35万元（日本円 約5,533,500円）","31.35万元（日本円 約6,583,500円）",暂无
基本参数,基本仕様,厂商,メーカー,テスラ中国,テスラ中国,テスラ中国
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.07,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),593,750,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),220,331,225
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),410,559,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター（Ps）,299,450,306
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4797×1920×1624,4797×1920×1624,4797×1920×1624
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,4.3,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),201,201,201
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量（L/100km）,1.38,1.42,-
基本参数,基本仕様,整车质保,車両保証,● 4年または8万km,● 4年または8万km,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1921,1992,1891
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2432,2503,2402
车身,車体,长度(mm),全長(mm),4797,4797,4797
车身,車体,宽度(mm),全幅(mm),1920,1920,1920
车身,車体,高度(mm),全高(mm),1624,1624,1624
车身,車体,轴距(mm),ホイールベース(mm),2890,2890,2890
车身,車体,前轮距(mm),前トレッド(mm),1636,1636,1636
车身,車体,后轮距(mm),後トレッド(mm),1636,1636,1636
车身,車体,满载最小离地间隙(mm),満載時最小地上高（mm）,138,138,-
车身,車体,空载最小离地间隙(mm),空車時最小地上高（mm）,167,167,-
车身,車体,接近角(°),アプローチアングル（°）,16,16,16
车身,車体,离去角(°),デパーチャーアングル（°）,18,18,18
车身,車体,最大爬坡度(%),最大登坂度（％）,30,30,-
车身,車体,最大爬坡角度(°),最大登坂角度（°）,16.7,16.7,-
车身,車体,最小转弯半径(m),最小回転半径(m),6.065,6.065,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量（L）,116,116,-
车身,車体,后备厢容积(L),リアトランク容量（L）,822-2022,822-2022,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.22,0.22,-
电动机,モーター,前电动机品牌,前モーターブランド,-,テスラ,-
电动机,モーター,后电动机品牌,後モーターブランド,テスラ,テスラ,テスラ
电动机,モーター,前电动机型号,前モーター型式,-,3D3,-
电动机,モーター,后电动机型号,後モーター型式,4D3,3D7,3D6
电动机,モーター,电机类型,モーター種類,永久磁石/同期,前誘導/非同期 後永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),220,331,225
电动机,モーター,电动机总马力(Ps),モーター総馬力（Ps）,299,450,306
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),410,559,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力（kW）,-,137,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク（N·m）,-,219,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力（kW）,220,194,225
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク（N·m）,410,340,-
电动机,モーター,驱动电机数,駆動モーター数,シングルモーター,デュアルモーター,シングルモーター
电动机,モーター,电机布局,モーター配置,リア配置,フロント＋リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または19.2万km,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（福鼎時代） CATL（四川時代）,● LG（エルジー）,● LG（エルジー）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),593,750,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量（kWh）,62.5,78.4,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力（kWh/100km）,11.9,12.2,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),170,250,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● デュアルモーター四輪駆動,● リア配置リア駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,255/45 R19 255/40 R20（8000元）,255/45 R19 255/40 R20（8000元）,● 255/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,255/45 R19 255/40 R20,255/45 R19 255/40 R20,● 255/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,-
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,-
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● 標準/快適 雪道,● スポーツ 標準/快適 雪道,-
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,-
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● AI 4,● AI 4,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 720 TOPS,● 720 TOPS,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 8個,● 8個,-
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 500万画素,● 500万画素,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,-
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検知距離,● 424m,● 424m,-
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● テスラオートパイロット,● テスラオートパイロット,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,-
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,○,○,-
驾驶功能,運転機能,辅助泊车入位,駐車支援,○,○,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,○,○,-
驾驶功能,運転機能,辅助变道,車線変更支援,○,○,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,-
驾驶功能,運転機能,信号灯识别,信号認識,○,○,-
驾驶功能,運転機能,远程召唤,リモートサモン,○,○,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,○ 市街地・高速道路,○ 市街地・高速道路,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー（990元） Bluetoothキー NFC/RFIDキー UWBデジタルキー,リモコンキー（990元） Bluetoothキー NFC/RFIDキー UWBデジタルキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車両,● 全車両,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,-
车外灯光,外部照明,灯光特色功能,ライト特長機能,● マトリクス式,● マトリクス式,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ/ダウン機能,● 全車両,● 全車両,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウィンドウ多層防音ガラス,● 前席・後席,● 前席・後席,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部サイドプライバシーガラス,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,-
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,-
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 147PPI,● 147PPI,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● AMD Ryzen,● AMD Ryzen,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後部液晶画面,●,●,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後部液晶画面サイズ,● 8インチ,● 8インチ,-
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後部マルチメディア画面数,● 1個,● 1個,-
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後部マルチメディア操作,●,●,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス・修理予約,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス・修理予約,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● タッチスクリーンシフト,● タッチスクリーンシフト,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 15W,● 15W,-
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,●,●,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション,● ヒーター ベンチレーション,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター,● ヒーター,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 9スピーカー,● 16スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色対応,● 多色対応,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,-
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,-
颜色,カラー,外观颜色,外装色,パールホワイト ￥8000 スターグレー レッド ￥12000 クイックシルバー ￥12000 アイスブルー ￥8000 スターライトブラック ￥8000,パールホワイト ￥8000 スターグレー レッド ￥12000 クイックシルバー ￥12000 アイスブルー ￥8000 スターライトブラック ￥8000,-
颜色,カラー,内饰颜色,内装色,ブラック／ホワイト ￥8000 ブラック,ブラック／ホワイト ￥8000 ブラック,-
选装包,オプションパッケージ,基础辅助驾驶,ベーシック運転支援,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。 オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。 オプション（無料）,-
选装包,オプションパッケージ,增强辅助驾驶,強化運転支援,○ 含む：「ベーシックアシストドライブ」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。 オプション（32000元）,○ 含む：「ベーシックアシストドライブ」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。 オプション（32000元）,-
选装包,オプションパッケージ,智能辅助驾驶,インテリジェント運転支援,○ 含む：「ベーシックアシストドライブ」と「アドバンスドアシストドライブ」パッケージの全機能。後日インテリジェントアシストドライブ機能を提供予定。将来的には運転者の介入がほとんどなく大部分の運転操作を車両が実行可能に。 オプション（64000元）,○ 含む：「ベーシックアシストドライブ」と「アドバンスドアシストドライブ」パッケージの全機能。後日インテリジェントアシストドライブ機能を提供予定。将来的には運転者の介入がほとんどなく大部分の運転操作を車両が実行可能に。 オプション（64000元）,-
